Branch,Feature_Count_Reduction,Feature_Reduction_Percent,Model_Size_Reduction_Percent,Memory_Reduction_Percent,Inference_Time_Reduction_Percent,Latency_Reduction_Percent,Macro_F1_Difference,Accuracy_Difference,Recall_Difference,FPR_Difference
Packet-Based,95,92.23300970873787,-85.67037953865643,20.836114637693825,-5.983898388578313,-5.983898388578335,-0.002239969359083771,-0.002239583333333295,-0.003958333333333397,0.0005208333333333333
Flow-Based,61,87.14285714285714,-22.464811665963012,11.337378180595948,41.46073937553021,41.46073937553021,-0.007603102430408959,-0.007604166666666745,-0.00593750000000004,0.009270833333333332
