Branch,Model_Type,Selected_Features,Accuracy,Macro_F1,Recall,False_Positive_Rate,ROC_AUC,Training_Time_Seconds,Inference_Time_Seconds,Inference_Time_Per_Sample,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Total_Features,Reduction_Percent,Optimization_Time_Seconds,Best_Hyperparameters_JSON
Packet-Based,RandomForest,8,0.99015625,0.9901555577859521,0.9817708333333334,0.0014583333333333334,0.9993905761718749,0.9624931812286377,0.031347036361694336,1.6326581438382466e-06,119,20,4,2,0.5,103,92.23300970873787,93.93535804748535,"{""model_type"": ""RandomForest"", ""n_estimators"": 119, ""max_depth"": 20, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5}"
Flow-Based,RandomForest,9,0.9384375,0.9384206077624223,0.921875,0.045,0.9824897515190973,0.3933250904083252,0.031144380569458008,1.6221031546592713e-06,49,12,7,1,0.5,70,87.14285714285714,55.00008010864258,"{""model_type"": ""RandomForest"", ""n_estimators"": 49, ""max_depth"": 12, ""min_samples_split"": 7, ""min_samples_leaf"": 1, ""max_features"": 0.5}"
